(Z_0:0.2189384518,((C_0:0.0200697029,G_0:0.0217390917):0.0276758852,L_0:0.0384761849):0.0020263008,(R_0:0.0138769116,Q_0:0.0167997445):0.0179200815);
(Z_0:0.2061793155,(C_0:0.0229959778,G_0:0.0306798451):0.0161849327,(L_0:0.0306704833,(R_0:0.0160613163,Q_0:0.0095264623):0.0241651533):0.0099497187);
(Z_0:0.0110958995,(C_0:0.0000024116,G_0:0.0010013335):0.0015063344,(L_0:0.0025080558,(R_0:0.0010006435,Q_0:0.0015016023):0.0025103922):0.0009985984);
(Z_0:0.2485979163,(R_0:0.0326540919,Q_0:0.0380697078):0.0365791142,(L_0:0.0520129024,(C_0:0.0396647145,G_0:0.0289745863):0.0206070204):0.0052757648);
(Z_0:0.0354523753,(C_0:0.0030153762,G_0:0.0050405772):0.0015182796,(L_0:0.0075692361,(R_0:0.0020048093,Q_0:0.0015054699):0.0035324789):0.0004600115);
(Z_0:0.0260733307,(C_0:0.0020043205,G_0:0.0020083407):0.0035305925,(L_0:0.0045219183,(R_0:0.0015025198,Q_0:0.0004999174):0.0015011849):0.0014956347);
(Z_0:0.1024872009,(C_0:0.0091425838,G_0:0.0055189504):0.0158959021,(L_0:0.0177937259,(R_0:0.0096836920,Q_0:0.0110617849):0.0076515588):0.0011974436);
(Z_0:0.0630176243,(R_0:0.0086043021,Q_0:0.0086298161):0.0150699833,(L_0:0.0144204150,(C_0:0.0069019474,G_0:0.0051964784):0.0056777566):0.0098377732);
(Z_0:0.0085711930,(R_0:0.0005000402,Q_0:0.0000024653):0.0015100819,(L_0:0.0030087970,(C_0:0.0015023143,G_0:0.0025072808):0.0005020116):0.0004918558);
(Z_0:0.0136329215,(L_0:0.0035185692,(C_0:0.0000023051,G_0:0.0030065124):0.0010006496):0.0000025850,(R_0:0.0015030094,Q_0:0.0010019756):0.0020053850);
(Z_0:0.3322508788,(C_0:0.0528287050,G_0:0.0355313574):0.0368686207,(L_0:0.0596839744,(R_0:0.0280288896,Q_0:0.0245778826):0.0332418997):0.0229469961);
(Z_0:0.1235547978,(C_0:0.0091026932,G_0:0.0081045074):0.0120454029,(L_0:0.0232451827,(R_0:0.0127747767,Q_0:0.0112100594):0.0107402555):0.0012208505);
(Z_0:0.0045144358,((C_0:0.0020029360,G_0:0.0000028555):0.0005001740,(L_0:0.0010013800,Q_0:0.0005000600):0.0000010000):0.0000013900,R_0:0.0015014796);
(Z_0:0.1895217690,(R_0:0.0224241017,Q_0:0.0176258805):0.0216633564,((L_0:0.0440576898,G_0:0.0340272638):0.0002291528,C_0:0.0385073136):0.0019914822);
(Z_0:0.4266125678,(C_0:0.0288790272,G_0:0.0335861759):0.0557490909,(L_0:0.0587366328,(R_0:0.0385545873,Q_0:0.0376139109):0.0210056817):0.0142366690);
(Z_0:0.2646467523,(C_0:0.0269831524,G_0:0.0291990004):0.0409736058,(L_0:0.0503755577,(R_0:0.0207402208,Q_0:0.0219738529):0.0253820254):0.0129517553);
(Z_0:0.0392254340,((C_0:0.0035175942,G_0:0.0025086398):0.0040282649,(R_0:0.0030150345,Q_0:0.0040230550):0.0009961028):0.0000020142,L_0:0.0035128482);
(Z_0:0.0536973882,((R_0:0.0025039178,Q_0:0.0050440810):0.0065052634,(C_0:0.0080450278,G_0:0.0032037401):0.0065326004):0.0006001368,L_0:0.0095553502);
(Z_0:0.1216389819,(R_0:0.0060067894,Q_0:0.0091488299):0.0242767999,(L_0:0.0248489259,(C_0:0.0199661086,G_0:0.0148394485):0.0045335785):0.0005713578);
(Z_0:0.0673468851,C_0:0.0148128483,(G_0:0.0100785046,(L_0:0.0110928362,(R_0:0.0075713429,Q_0:0.0050424026):0.0035107902):0.0000020979):0.0013863563);
(Z_0:0.3026387839,(C_0:0.0260110535,G_0:0.0228676003):0.0404102906,(L_0:0.0532384499,(R_0:0.0431046084,Q_0:0.0322846945):0.0113361597):0.0143298702);
(Z_0:0.0662861619,(C_0:0.0080716994,G_0:0.0050341883):0.0107553426,(L_0:0.0118518534,(R_0:0.0101039352,Q_0:0.0097368680):0.0025494320):0.0017016064);
(Z_0:0.1817057284,((R_0:0.0138902902,Q_0:0.0122805937):0.0259023509,(C_0:0.0201476621,G_0:0.0164200161):0.0208952491):0.0011597658,L_0:0.0378414107);
(Z_0:0.0280816077,((C_0:0.0020026714,G_0:0.0015015020):0.0015067004,L_0:0.0030089297):0.0000021483,(R_0:0.0010004247,Q_0:0.0020085651):0.0020077321);
(Z_0:0.0748899469,L_0:0.0218486594,((R_0:0.0029946534,Q_0:0.0060595217):0.0081598371,(C_0:0.0091668348,G_0:0.0136755783):0.0050309721):0.0004893098);
(Z_0:0.0982884503,(C_0:0.0178716530,G_0:0.0117207537):0.0109749652,(L_0:0.0182585283,(R_0:0.0188765894,Q_0:0.0198109196):0.0012118633):0.0045882521);
(Z_0:0.0367108013,(C_0:0.0045321863,G_0:0.0035194161):0.0045269788,(L_0:0.0040198950,(R_0:0.0035118432,Q_0:0.0030103330):0.0025106763):0.0040324533);
(Z_0:0.1955814465,(C_0:0.0193094377,G_0:0.0289361443):0.0196684255,(L_0:0.0349183670,(R_0:0.0111199966,Q_0:0.0169560922):0.0157519933):0.0118942994);
(Z_0:0.0793231495,(C_0:0.0155979704,G_0:0.0134590946):0.0022320402,((R_0:0.0074089955,L_0:0.0159768891):0.0006769423,Q_0:0.0085263657):0.0015777466);
(Z_0:0.1025828668,(C_0:0.0050003169,G_0:0.0081234886):0.0118292311,(L_0:0.0166982333,(R_0:0.0054678206,Q_0:0.0061087644):0.0091099279):0.0053125668);
(Z_0:0.0934915296,(L_0:0.0231598215,(R_0:0.0147951086,Q_0:0.0145692222):0.0071839450):0.0000020056,(C_0:0.0063853144,G_0:0.0079114456):0.0125554825);
(Z_0:0.0105858892,((R_0:0.0015036831,Q_0:0.0004986045):0.0025065698,L_0:0.0025046369):0.0000020065,(C_0:0.0020042605,G_0:0.0020050513):0.0004995994);
(Z_0:0.0767866998,(C_0:0.0041469203,G_0:0.0079916641):0.0078945020,(L_0:0.0116675697,(R_0:0.0035375798,Q_0:0.0040019116):0.0045493960):0.0033104902);
(Z_0:0.1215889932,(C_0:0.0234146680,G_0:0.0239128546):0.0177334760,(L_0:0.0287573857,(R_0:0.0165796115,Q_0:0.0195637252):0.0119089190):0.0137158754);
(Z_0:0.0297763328,((C_0:0.0025075884,G_0:0.0030148586):0.0034961795,(R_0:0.0025120065,Q_0:0.0030121199):0.0025442402):0.0004376953,L_0:0.0035951600);
(Z_0:0.3345228443,(C_0:0.0513958417,G_0:0.0431611687):0.0376535040,(L_0:0.0581991331,(R_0:0.0256550931,Q_0:0.0285586217):0.0344515658):0.0170108616);
(Z_0:0.0446902905,(C_0:0.0030140874,G_0:0.0035169026):0.0065026669,(L_0:0.0090918709,(R_0:0.0045269852,Q_0:0.0035127423):0.0045343124):0.0025782795);
(Z_0:0.1317864612,(C_0:0.0132537873,G_0:0.0174491794):0.0186303276,(L_0:0.0197357641,(R_0:0.0160870280,Q_0:0.0160533524):0.0096067473):0.0184300021);
