,type,homo,murate,index,RF,nrBS
0,net,False,True,1,0.04999999999999999,0.36243827748196156
1,net,False,True,2,0.05666666666666665,0.3567857782154437
2,net,False,True,3,0.05333333333333332,0.3603327521270967
3,net,False,True,4,0.04333333333333333,0.35139905669522137
4,net,False,True,5,0.04,0.35717754060216705
5,net,False,True,6,0.04999999999999999,0.35394357376917407
6,net,False,True,7,0.05333333333333332,0.3505161710149849
7,net,False,True,8,0.03,0.3556396254740457
8,net,False,True,9,0.05666666666666665,0.36156712778862726
9,net,False,True,10,0.059999999999999984,0.35852196500583544
10,net,False,False,1,0.05333333333333332,0.423140803783047
11,net,False,False,2,0.07666666666666665,0.43702596540673705
12,net,False,False,3,0.08666666666666666,0.43338233607005533
13,net,False,False,4,0.06333333333333331,0.4237401975717944
14,net,False,False,5,0.06333333333333332,0.4312612667106184
15,net,False,False,6,0.05999999999999999,0.42825478178174115
16,net,False,False,7,0.06666666666666665,0.42253859427507295
17,net,False,False,8,0.05999999999999999,0.4214658509608152
18,net,False,False,9,0.07666666666666666,0.436602382166786
19,net,False,False,10,0.0733333333333333,0.4347066439674705
20,net,True,True,1,0.04666666666666666,0.3621045766326476
21,net,True,True,2,0.03666666666666667,0.35681819190282427
22,net,True,True,3,0.06666666666666664,0.3551402001898307
23,net,True,True,4,0.04999999999999999,0.3506100417518016
24,net,True,True,5,0.05666666666666665,0.3581965515452266
25,net,True,True,6,0.026666666666666665,0.3535997223831556
26,net,True,True,7,0.03333333333333333,0.34931068593099596
27,net,True,True,8,0.04999999999999999,0.35551135867733935
28,net,True,True,9,0.05666666666666665,0.360762426986513
29,net,True,True,10,0.04666666666666666,0.35864909817401214
30,net,True,False,1,0.04666666666666666,0.3609570747754308
31,net,True,False,2,0.03333333333333333,0.35528424269115727
32,net,True,False,3,0.059999999999999984,0.35382823903148103
33,net,True,False,4,0.04999999999999999,0.34864026224731104
34,net,True,False,5,0.05666666666666665,0.3561613843353848
35,net,True,False,6,0.02333333333333333,0.35138830624531037
36,net,True,False,7,0.03666666666666667,0.34715406997523673
37,net,True,False,8,0.03666666666666667,0.3543040233707451
38,net,True,False,9,0.05666666666666665,0.35993274766536204
39,net,True,False,10,0.03333333333333333,0.3567127416067066
